#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
31626	9941532	5154175	2277	2204	91	100556	-1117
31627	9941532	5154175	2277	1927	91	100552	-1114
31628	9941576	5154164	2192	2199	91	100551	-1113
31629	9941599	5154158	2287	2207	91	100555	-1116
31630	9941620	5154152	2281	2138	91	100555	-1116
31631	9941639	5154147	2126	1807	91	100562	-1122
31632	9941656	5154142	1976	2043	91	100559	-1120
31633	9941673	5154136	2031	2064	91	100559	-1120
31634	9941690	5154131	1952	2051	90	100554	-1116
31635	9941708	5154126	1942	2034	90	100555	-1116
31636	9941725	5154122	2039	2021	90	100562	-1122
31637	9941744	5154117	2029	2059	90	100562	-1122
31638	9941761	5154112	1968	1859	90	100559	-1120
31639	9941780	5154107	1977	2077	90	100562	-1122
31640	9941798	5154102	2068	2065	90	100562	-1122
31641	9941816	5154097	1902	1736	89	100555	-1116
31642	9941833	5154092	1801	1852	89	100558	-1119
31643	9941851	5154087	1798	1860	89	100557	-1118
31644	9941868	5154082	1789	1879	89	100549	-1111
31645	9941882	5154078	1800	1915	89	100561	-1122
31646	9941895	5154073	1892	1719	89	100560	-1121
31647	9941895	5154073	1892	2053	89	100556	-1117
31648	9941921	5154065	2087	2113	89	100560	-1121
31649	9941937	5154060	1983	2118	89	100556	-1117
31650	9941956	5154055	1920	1994	89	100559	-1120
31651	9941973	5154049	1905	1872	88	100553	-1115
31652	9941991	5154045	1701	1798	89	100561	-1122
31653	9942008	5154040	1698	1818	88	100553	-1115
31654	9942025	5154035	1585	1714	88	100554	-1116
31655	9942041	5154031	1576	1661	88	100562	-1122
31656	9942059	5154027	1483	1618	88	100553	-1115
31657	9942076	5154023	1472	1580	88	100552	-1114
31658	9942093	5154019	1400	1585	88	100553	-1115
31659	9942110	5154015	1400	1559	88	100556	-1117
31660	9942126	5154012	1451	1536	88	100549	-1111
31661	9942141	5154008	1500	1519	88	100545	-1108
31662	9942154	5154004	1503	1519	88	100551	-1113
31663	9942166	5154001	1344	1117	88	100554	-1116
31664	9942179	5153998	1242	861	88	100547	-1110
31665	9942193	5153994	1170	1021	88	100551	-1113
31666	9942208	5153991	1111	1048	88	100552	-1114
31667	9942225	5153988	1016	1004	88	100543	-1106
31668	9942242	5153986	894	929	88	100541	-1105
31669	9942258	5153983	890	835	88	100545	-1108
31670	9942274	5153982	655	835	88	100542	-1106
31671	9942287	5153980	18	835	88	100546	-1109
31672	9942297	5153978	5	0	88	100541	-1105
31673	9942305	5153978	1	0	88	100548	-1111
31674	9942307	5153978	9	0	88	100546	-1109
31675	9942307	5153978	7	0	88	100541	-1105
31676	9942307	5153979	0	0	88	100546	-1109
31677	9942307	5153979	0	0	88	100549	-1111
31678	9942305	5153979	0	0	88	100546	-1109
31679	9942305	5153979	0	0	88	100547	-1110
31680	9942305	5153979	0	0	88	100548	-1111
31681	9942305	5153979	0	0	88	100548	-1111
31682	9942305	5153979	0	0	88	100549	-1111
31683	9942305	5153979	0	0	88	100545	-1108
31684	9942305	5153979	0	0	88	100549	-1111
31685	9942305	5153979	0	0	88	100548	-1111
31686	9942305	5153979	3	0	88	100545	-1108
